Route_UUID,Interface,Selected Networks,Gateway,Metric
005056A1-C63D-0ed3-0000-008590048291,ipsec,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957957', 'name': 'obj-172.20.128.0'}]",obj-10.5.108.15,1
005056A1-C63D-0ed3-0000-008590048308,ipsec,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956585', 'name': 'obj-192.168.0.5'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048001,ipsec,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957448', 'name': 'obj-10.5.108.128'}]",obj-10.5.108.3,1
005056A1-C63D-0ed3-0000-008590048264,outside,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956571', 'name': 'obj-69.191.192.25'}]",obj-200.1.118.1,1
005056A1-C63D-0ed3-0000-008590048349,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589958120', 'name': 'obj-192.168.41.0'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048092,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957622', 'name': 'obj-10.6.100.144'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048342,ipsec,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589958113', 'name': 'obj-192.168.34.0'}]",obj-10.5.108.15,1
005056A1-C63D-0ed3-0000-008590048203,inside,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957922', 'name': 'obj-10.16.0.0'}]",obj-10.5.100.1,1
005056A1-C63D-0ed3-0000-008590048202,inside,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957296', 'name': 'OBJ-10.12.0.0'}]",obj-10.5.100.1,1
005056A1-C63D-0ed3-0000-008590048245,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957940', 'name': 'obj-10.236.252.0'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048160,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956411', 'name': 'obj-10.6.250.94'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048390,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956587', 'name': 'obj-192.168.95.179'}]",obj-10.6.3.17,1
005056A1-C63D-0ed3-0000-008590048239,inside,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957935', 'name': 'obj-10.235.0.0'}]",obj-10.5.100.1,1
005056A1-C63D-0ed3-0000-008590048224,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589955066', 'name': 'OBJ-10.70.236.114'}]",obj-10.6.3.36,1
005056A1-C63D-0ed3-0000-008590048080,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957610', 'name': 'obj-10.6.70.0'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048327,ipsec,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589958098', 'name': 'obj-192.168.18.0'}]",obj-10.5.108.15,1
005056A1-C63D-0ed3-0000-008590048386,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589958272', 'name': 'obj-192.168.74.96'}]",obj-10.6.3.13,1
005056A1-C63D-0ed3-0000-008590048430,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956733', 'name': 'obj-192.168.163.2'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048206,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956556', 'name': 'obj-10.64.10.40'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048212,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957279', 'name': 'OBJ-10.65.10.0'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048277,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957946', 'name': 'obj-155.195.0.0'}]",obj-10.6.3.7,1
005056A1-C63D-0ed3-0000-008590048176,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956543', 'name': 'obj-10.6.252.80'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048306,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957968', 'name': 'obj-192.155.138.0'}]",obj-10.6.3.7,1
005056A1-C63D-0ed3-0000-008590048445,outside,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589958285', 'name': 'obj-199.105.176.0'}]",obj-200.1.118.71,1
005056A1-C63D-0ed3-0000-008590048012,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957453', 'name': 'obj-10.6.0.32'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048242,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957937', 'name': 'obj-10.236.138.0'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048402,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589958276', 'name': 'obj-192.168.100.0'}]",obj-10.6.3.13,1
005056A1-C63D-0ed3-0000-008590047987,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956242', 'name': 'obj-10.0.154.39'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048424,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956731', 'name': 'obj-192.168.155.2'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048127,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957768', 'name': 'obj-10.6.175.64'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048425,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956732', 'name': 'obj-192.168.155.3'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048195,ipsec,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957802', 'name': 'obj-10.8.128.0'}]",obj-10.5.108.33,1
005056A1-C63D-0ed3-0000-008590048348,ipsec,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589958119', 'name': 'obj-192.168.40.0'}]",obj-10.5.108.15,1
005056A1-C63D-0ed3-0000-008590048303,ipsec,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957965', 'name': 'obj-190.221.23.104'}]",obj-10.5.108.15,1
005056A1-C63D-0ed3-0000-008590048392,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956589', 'name': 'obj-192.168.95.209'}]",obj-10.6.3.36,1
005056A1-C63D-0ed3-0000-008590048165,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956416', 'name': 'obj-10.6.252.13'}]",obj-10.6.3.13,1
005056A1-C63D-0ed3-0000-008590048136,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956400', 'name': 'obj-10.6.194.1'}]",obj-10.6.3.30,1
005056A1-C63D-0ed3-0000-008590048033,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956378', 'name': 'obj-10.6.3.42'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048008,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956250', 'name': 'obj-10.6.0.9'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590047994,inside,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957441', 'name': 'obj-10.5.46.0'}]",obj-10.5.100.1,1
005056A1-C63D-0ed3-0000-008590048172,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956424', 'name': 'obj-10.6.252.72'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048452,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956748', 'name': 'obj-209.13.133.50'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048051,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957468', 'name': 'obj-10.6.10.0'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048181,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957793', 'name': 'obj-10.7.11.0'}]",obj-10.6.3.13,1
005056A1-C63D-0ed3-0000-008590048309,ipsec,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589958085', 'name': 'obj-192.168.1.0'}]",obj-10.5.108.15,1
005056A1-C63D-0ed3-0000-008590048409,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956716', 'name': 'obj-192.168.139.2'}]",obj-10.6.3.70,1
005056A1-C63D-0ed3-0000-008590048300,ipsec,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589952631', 'name': 'OBJ-172.30.221.193'}]",obj-10.5.108.3,1
005056A1-C63D-0ed3-0000-008590048097,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957627', 'name': 'obj-10.6.133.0'}]",obj-10.6.3.70,1
005056A1-C63D-0ed3-0000-008590048222,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589955061', 'name': 'OBJ-10.70.232.26'}]",obj-10.6.3.17,1
005056A1-C63D-0ed3-0000-008590048387,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589958273', 'name': 'obj-192.168.74.104'}]",obj-10.6.3.13,1
005056A1-C63D-0ed3-0000-008590048394,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956591', 'name': 'obj-192.168.95.213'}]",obj-10.6.3.17,1
005056A1-C63D-0ed3-0000-008590048397,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589951805', 'name': 'OBJ-192.168.95.246'}]",obj-10.6.3.36,1
005056A1-C63D-0ed3-0000-008590048214,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589954941', 'name': 'OBJ-10.70.224.29'}]",obj-10.6.3.17,1
005056A1-C63D-0ed3-0000-008590048262,outside,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956569', 'name': 'obj-69.191.192.22'}]",obj-200.1.118.1,1
005056A1-C63D-0ed3-0000-008590048313,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956586', 'name': 'obj-192.168.5.101'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048383,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589958269', 'name': 'obj-192.168.74.48'}]",obj-10.6.3.13,1
005056A1-C63D-0ed3-0000-008590048270,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956576', 'name': 'obj-148.171.221.239'}]",obj-10.6.3.15,1
005056A1-C63D-0ed3-0000-008590048422,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956729', 'name': 'obj-192.168.153.2'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048333,ipsec,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589958104', 'name': 'obj-192.168.25.0'}]",obj-10.5.108.15,1
005056A1-C63D-0ed3-0000-008590048134,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957775', 'name': 'obj-10.6.193.0'}]",obj-10.6.3.30,1
005056A1-C63D-0ed3-0000-008590048106,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957636', 'name': 'obj-10.6.152.0'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048290,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956582', 'name': 'obj-172.20.120.21'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048325,ipsec,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589958096', 'name': 'obj-192.168.16.04'}]",obj-10.5.108.15,1
005056A1-C63D-0ed3-0000-008590048320,ipsec,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589958091', 'name': 'obj-192.168.8.0'}]",obj-10.5.108.15,1
005056A1-C63D-0ed3-0000-008590048401,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956710', 'name': 'obj-192.168.97.132'}]",obj-10.6.3.36,1
005056A1-C63D-0ed3-0000-008590048044,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956388', 'name': 'obj-10.6.3.58'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048350,ipsec,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589958121', 'name': 'obj-192.168.42.0'}]",obj-10.5.108.15,1
005056A1-C63D-0ed3-0000-008590048128,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957769', 'name': 'obj-10.6.175.128'}]",obj-10.6.3.70,1
005056A1-C63D-0ed3-0000-008590048280,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957949', 'name': 'obj-159.44.11.0'}]",obj-10.6.3.7,1
005056A1-C63D-0ed3-0000-008590048071,inside,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956395', 'name': 'obj-10.6.40.101'}]",obj-10.5.100.1,1
005056A1-C63D-0ed3-0000-008590048121,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956399', 'name': 'obj-10.6.174.42'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048236,inside,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957932', 'name': 'obj-10.234.0.01'}]",obj-10.5.100.1,1
005056A1-C63D-0ed3-0000-008590048272,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589955253', 'name': 'OBJ-148.171.222.241'}]",obj-10.6.3.70,1
005056A1-C63D-0ed3-0000-008590048360,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589958131', 'name': 'obj-192.168.67.0'}]",obj-10.6.3.13,1
005056A1-C63D-0ed3-0000-008590048301,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957964', 'name': 'obj-172.31.254.152'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048315,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589951929', 'name': 'OBJ-192.168.5.103'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048099,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957629', 'name': 'obj-10.6.137.0'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048086,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957616', 'name': 'obj-10.6.100.48'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048094,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957624', 'name': 'obj-10.6.122.240'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048268,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956574', 'name': 'obj-129.39.167.224'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048037,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956382', 'name': 'obj-10.6.3.46'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048075,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957605', 'name': 'obj-10.6.46.0'}]",obj-10.6.3.15,1
005056A1-C63D-0ed3-0000-008590048213,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589955059', 'name': 'OBJ-10.70.224.2'}]",obj-10.6.3.17,1
005056A1-C63D-0ed3-0000-008590047991,inside,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957438', 'name': 'obj-10.5.12.0'}]",obj-10.5.100.1,1
005056A1-C63D-0ed3-0000-008590048076,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957606', 'name': 'obj-10.6.47.0'}]",obj-10.6.3.70,1
005056A1-C63D-0ed3-0000-008590048187,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957795', 'name': 'obj-10.7.252.2'}]",obj-10.6.3.253,1
005056A1-C63D-0ed3-0000-008590048382,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589958268', 'name': 'obj-192.168.74.40'}]",obj-10.6.3.13,1
005056A1-C63D-0ed3-0000-008590048110,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957754', 'name': 'obj-10.6.160.0'}]",obj-10.6.3.7,1
005056A1-C63D-0ed3-0000-008590048304,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957966', 'name': 'obj-192.152.41.0'}]",obj-10.6.3.7,1
005056A1-C63D-0ed3-0000-008590048412,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956719', 'name': 'obj-192.168.142.2'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048331,ipsec,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589958102', 'name': 'obj-192.168.23.0'}]",obj-10.5.108.15,1
005056A1-C63D-0ed3-0000-008590048285,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957953', 'name': 'obj-172.17.160.0'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048158,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956409', 'name': 'obj-10.6.250.91'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590047984,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956239', 'name': 'obj-10.0.17.142'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048433,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956736', 'name': 'obj-192.168.166.2'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048344,ipsec,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589958115', 'name': 'obj-192.168.36.0'}]",obj-10.5.108.15,1
005056A1-C63D-0ed3-0000-008590048271,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589951940', 'name': 'OBJ-148.171.221.241'}]",obj-10.6.3.16,1
005056A1-C63D-0ed3-0000-008590048289,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956581', 'name': 'obj-172.20.120.2'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048100,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957630', 'name': 'obj-10.6.139.0'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048346,ipsec,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589958117', 'name': 'obj-192.168.38.0'}]",obj-10.5.108.15,1
005056A1-C63D-0ed3-0000-008590048376,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589958262', 'name': 'obj-192.168.73.128'}]",obj-10.6.3.13,1
005056A1-C63D-0ed3-0000-008590048138,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957778', 'name': 'obj-10.6.196.0'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048124,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957766', 'name': 'obj-10.6.174.80'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048198,ipsec,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957920', 'name': 'obj-10.8.193.0'}]",obj-10.5.108.34,1
005056A1-C63D-0ed3-0000-008590048295,inside,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957961', 'name': 'obj-172.24.0.0'}]",obj-10.5.100.1,1
005056A1-C63D-0ed3-0000-008590048221,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589955058', 'name': 'OBJ-10.70.232.25'}]",obj-10.6.3.17,1
005056A1-C63D-0ed3-0000-038655456763,ipsec,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-038655456740', 'name': 'NET-172.20.176.0_24'}]",N/A,1
005056A1-C63D-0ed3-0000-008590048418,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956725', 'name': 'obj-192.168.149.2'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048056,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957473', 'name': 'obj-10.6.18.0'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048024,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957461', 'name': 'obj-10.6.0.180'}]",obj-10.6.3.70,1
005056A1-C63D-0ed3-0000-008590048043,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956387', 'name': 'obj-10.6.3.57'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048074,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957604', 'name': 'obj-10.6.45.0'}]",obj-10.6.3.15,1
005056A1-C63D-0ed3-0000-008590048434,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589958283', 'name': 'obj-192.168.168.0'}]",obj-10.6.3.13,1
005056A1-C63D-0ed3-0000-008590048419,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956726', 'name': 'obj-192.168.150.2'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048374,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589958260', 'name': 'obj-192.168.73.0'}]",obj-10.6.3.13,1
005056A1-C63D-0ed3-0000-008590048096,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957626', 'name': 'obj-10.6.131.0'}]",obj-10.6.3.9,1
